CMDLINE /mnt/data/apps/miniconda3/envs/radar_sort/bin/python3.11 main_pipeline.py --no-skip-existing
MEM 1552.960938 1753852806.0191
MEM 1552.960938 1753852806.1196
MEM 1552.960938 1753852806.2202
MEM 1552.960938 1753852806.3207
MEM 1552.960938 1753852806.4212
MEM 1565.460938 1753852806.5218
MEM 1565.460938 1753852806.6224
MEM 1565.460938 1753852806.7228
MEM 1565.460938 1753852806.8233
MEM 1565.460938 1753852806.9238
MEM 1565.585938 1753852807.0243
MEM 1565.585938 1753852807.1248
MEM 1578.210938 1753852807.2253
MEM 1578.210938 1753852807.3259
MEM 1578.210938 1753852807.4265
MEM 1578.210938 1753852807.5270
MEM 1578.210938 1753852807.6275
MEM 1578.210938 1753852807.7280
MEM 1578.210938 1753852807.8286
MEM 1590.835938 1753852807.9290
MEM 1590.835938 1753852808.0295
MEM 1590.835938 1753852808.1298
MEM 1590.835938 1753852808.2301
MEM 1590.835938 1753852808.3307
MEM 1590.835938 1753852808.4311
MEM 1590.835938 1753852808.5316
MEM 1597.335938 1753852808.6322
MEM 1603.460938 1753852808.7326
MEM 1603.460938 1753852808.8331
MEM 1603.460938 1753852808.9334
MEM 1603.460938 1753852809.0339
MEM 1603.460938 1753852809.1345
MEM 1603.460938 1753852809.2350
MEM 1603.585938 1753852809.3352
MEM 1616.085938 1753852809.4358
MEM 1616.085938 1753852809.5363
MEM 1616.210938 1753852809.6368
MEM 1616.210938 1753852809.7373
MEM 1616.210938 1753852809.8378
MEM 1616.210938 1753852809.9382
MEM 1616.210938 1753852810.0387
MEM 1628.710938 1753852810.1391
MEM 1628.710938 1753852810.2396
MEM 1628.710938 1753852810.3401
MEM 1628.710938 1753852810.4406
MEM 1628.710938 1753852810.5411
MEM 1628.710938 1753852810.6417
MEM 1641.335938 1753852810.7422
MEM 1641.335938 1753852810.8427
MEM 1641.335938 1753852810.9432
MEM 1641.335938 1753852811.0438
MEM 1641.460938 1753852811.1444
MEM 1654.085938 1753852811.2449
MEM 1654.085938 1753852811.3454
